age_group,job,marital,education,contact,month,balance_bucket,balance,campaign,pdays,previous,y
18-25,blue-collar,married,secondary,Unknown,jun,1K-5K,1073,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1K-5K,1311,3,-1,0,FALSE
18-25,blue-collar,single,Unknown,Unknown,jun,1-1K,431,12,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-207,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1K-5K,4084,7,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,5K-20K,8627,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,-389,1,-1,0,TRUE
18-25,blue-collar,single,primary,Unknown,jun,1-1K,145,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-59,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,330,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,492,1,-1,0,TRUE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,476,1,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,jun,<=0,-426,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,2,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,-507,2,-1,0,FALSE
18-25,blue-collar,divorced,secondary,Unknown,jun,1-1K,720,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,150,2,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,1-1K,116,4,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,jun,<=0,-83,17,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-203,3,-1,0,TRUE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,0,4,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,jun,1K-5K,1782,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-191,7,-1,0,TRUE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,-306,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,94,16,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-350,3,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,1-1K,52,2,-1,0,TRUE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,-295,2,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,5K-20K,6100,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,820,2,-1,0,FALSE
18-25,blue-collar,single,Unknown,Unknown,jun,1-1K,373,2,-1,0,FALSE
18-25,blue-collar,single,secondary,telephone,jul,1-1K,192,2,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,jul,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,218,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,913,4,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,jul,<=0,0,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,267,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,495,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,<=0,-220,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,101,3,-1,0,TRUE
18-25,blue-collar,married,secondary,cellular,jul,1K-5K,4280,2,-1,0,FALSE
18-25,blue-collar,single,secondary,telephone,jul,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,189,2,-1,0,TRUE
18-25,blue-collar,single,secondary,telephone,jul,1-1K,224,4,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1K-5K,1243,7,-1,0,TRUE
18-25,blue-collar,single,primary,cellular,jul,1K-5K,2483,3,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,jul,<=0,-375,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,<=0,0,4,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,377,4,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,158,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,195,3,-1,0,FALSE
18-25,blue-collar,single,primary,cellular,jul,1-1K,15,3,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,895,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,612,4,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,<=0,-247,1,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,jul,<=0,-2,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,674,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,59,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,2,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,<=0,-102,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,<=0,-23,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,76,4,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,<=0,-288,4,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1K-5K,2307,5,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,feb,1K-5K,2265,2,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,feb,1-1K,167,2,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,mar,1-1K,682,1,-1,0,TRUE
18-25,blue-collar,married,secondary,cellular,apr,<=0,-220,1,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,apr,1K-5K,1158,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,525,1,332,1,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,423,1,-1,0,TRUE
18-25,blue-collar,single,Unknown,cellular,apr,1-1K,431,1,317,12,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,630,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,578,5,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,apr,1-1K,9,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,104,1,339,1,FALSE
18-25,blue-collar,single,secondary,cellular,apr,<=0,-7,1,343,1,FALSE
18-25,blue-collar,married,secondary,cellular,apr,<=0,-220,1,15,1,FALSE
18-25,blue-collar,married,secondary,cellular,apr,1-1K,204,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,<=0,-424,6,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1K-5K,1385,5,-1,0,FALSE
18-25,blue-collar,single,Unknown,cellular,apr,1-1K,586,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,apr,1K-5K,1222,1,-1,0,FALSE
18-25,blue-collar,single,primary,cellular,apr,1-1K,147,2,322,2,FALSE
18-25,blue-collar,married,secondary,cellular,apr,<=0,0,3,306,4,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,206,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,<=0,0,1,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,may,1-1K,336,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1K-5K,1857,4,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,27,1,338,2,FALSE
18-25,blue-collar,single,secondary,telephone,may,1-1K,15,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,51,3,356,4,FALSE
18-25,blue-collar,married,secondary,cellular,may,1-1K,223,1,344,1,FALSE
18-25,blue-collar,married,primary,cellular,may,<=0,-247,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,5K-20K,6837,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,<=0,-392,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,537,1,353,2,FALSE
18-25,blue-collar,single,primary,cellular,may,1-1K,758,1,357,1,FALSE
18-25,blue-collar,single,secondary,cellular,may,<=0,0,5,350,2,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,1,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,may,1K-5K,1470,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,<=0,0,9,-1,0,FALSE
18-25,blue-collar,single,secondary,telephone,may,1-1K,292,4,-1,0,FALSE
18-25,blue-collar,single,primary,telephone,may,<=0,-289,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,may,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1K-5K,1105,1,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,may,1-1K,456,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,<=0,-169,2,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,may,<=0,-172,1,361,3,TRUE
18-25,blue-collar,single,primary,cellular,may,1K-5K,3198,1,352,2,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,543,1,-1,0,FALSE
18-25,blue-collar,single,primary,cellular,may,1-1K,145,1,345,1,FALSE
18-25,blue-collar,single,secondary,cellular,may,<=0,-51,1,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,may,1-1K,780,1,-1,0,TRUE
18-25,blue-collar,single,primary,cellular,may,1-1K,388,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,may,<=0,-295,1,323,2,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,3,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,171,1,359,2,FALSE
18-25,blue-collar,single,tertiary,cellular,may,1K-5K,1395,1,-1,0,FALSE
18-25,blue-collar,single,primary,cellular,may,5K-20K,8627,1,346,1,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,833,1,-1,0,TRUE
18-25,blue-collar,divorced,secondary,cellular,may,1-1K,513,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,381,1,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,may,1-1K,531,3,345,9,FALSE
18-25,blue-collar,single,secondary,cellular,may,1K-5K,1690,3,350,3,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,6,10,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,39,1,-1,0,FALSE
18-25,blue-collar,single,primary,telephone,may,1K-5K,2129,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,764,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,174,1,-1,0,TRUE
18-25,blue-collar,married,secondary,cellular,may,1-1K,148,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1K-5K,4211,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,217,1,-1,0,TRUE
18-25,blue-collar,single,Unknown,cellular,may,1-1K,817,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,<=0,-287,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,668,3,-1,0,FALSE
18-25,blue-collar,single,primary,cellular,may,1-1K,292,2,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,may,1-1K,320,3,-1,0,FALSE
18-25,blue-collar,single,primary,cellular,may,1-1K,174,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,84,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,286,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,<=0,-398,3,355,4,FALSE
18-25,blue-collar,single,secondary,cellular,may,5K-20K,5482,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1K-5K,1421,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,76,2,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,may,1-1K,167,1,96,2,TRUE
18-25,blue-collar,single,secondary,cellular,may,1-1K,164,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1-1K,383,1,-1,0,FALSE
18-25,blue-collar,single,Unknown,cellular,may,1-1K,192,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,may,1K-5K,2265,4,99,2,FALSE
18-25,blue-collar,single,secondary,cellular,jun,1-1K,389,1,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,jun,1-1K,682,2,91,1,TRUE
18-25,blue-collar,single,primary,cellular,jun,1-1K,382,1,108,1,FALSE
18-25,blue-collar,single,secondary,cellular,jul,5K-20K,9883,5,-1,0,TRUE
18-25,blue-collar,married,secondary,cellular,aug,1-1K,272,2,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,oct,1K-5K,1857,1,92,5,TRUE
18-25,blue-collar,married,secondary,cellular,nov,1-1K,272,2,94,2,TRUE
18-25,blue-collar,single,primary,cellular,nov,1K-5K,1033,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,dec,1K-5K,1163,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jan,1K-5K,2007,2,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,mar,1-1K,509,1,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,mar,1-1K,303,1,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,apr,1K-5K,1857,4,187,6,TRUE
18-25,blue-collar,single,primary,telephone,apr,1K-5K,4599,6,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jun,1-1K,303,1,92,1,TRUE
18-25,blue-collar,single,secondary,cellular,jul,1K-5K,1857,2,91,10,TRUE
18-25,blue-collar,single,primary,Unknown,oct,<=0,-42,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,oct,1K-5K,1857,1,91,12,TRUE
18-25,entrepreneur,married,tertiary,Unknown,may,1-1K,37,2,-1,0,FALSE
18-25,entrepreneur,single,primary,Unknown,may,1-1K,4,2,-1,0,TRUE
18-25,entrepreneur,single,tertiary,Unknown,may,1-1K,6,4,-1,0,FALSE
18-25,entrepreneur,single,primary,Unknown,may,<=0,-65,2,-1,0,FALSE
18-25,entrepreneur,single,tertiary,Unknown,jun,<=0,0,1,-1,0,FALSE
18-25,entrepreneur,married,tertiary,cellular,jul,1-1K,38,5,-1,0,FALSE
18-25,entrepreneur,married,tertiary,cellular,jul,1-1K,30,2,-1,0,FALSE
18-25,entrepreneur,married,tertiary,cellular,aug,1-1K,489,4,-1,0,FALSE
18-25,entrepreneur,single,tertiary,cellular,may,1-1K,140,1,-1,0,FALSE
18-25,entrepreneur,single,tertiary,cellular,may,5K-20K,16874,2,-1,0,FALSE
18-25,entrepreneur,single,secondary,cellular,may,1K-5K,1128,3,-1,0,FALSE
18-25,entrepreneur,single,secondary,cellular,may,1-1K,69,3,-1,0,FALSE
18-25,entrepreneur,single,tertiary,cellular,aug,1-1K,347,1,-1,0,TRUE
18-25,entrepreneur,single,tertiary,cellular,aug,1K-5K,2077,1,-1,0,TRUE
18-25,housemaid,single,secondary,Unknown,may,1-1K,650,4,-1,0,FALSE
18-25,housemaid,married,primary,cellular,jul,1-1K,669,2,-1,0,FALSE
18-25,housemaid,married,tertiary,cellular,jul,1K-5K,1226,4,-1,0,FALSE
18-25,housemaid,married,tertiary,cellular,may,1-1K,66,2,-1,0,TRUE
18-25,housemaid,single,secondary,cellular,may,1-1K,650,1,367,4,FALSE
18-25,housemaid,single,primary,cellular,may,1-1K,93,3,-1,0,FALSE
18-25,housemaid,single,secondary,cellular,jun,1K-5K,1796,3,-1,0,TRUE
18-25,management,single,tertiary,Unknown,may,1K-5K,2605,6,-1,0,FALSE
18-25,management,single,tertiary,Unknown,may,1K-5K,1348,1,-1,0,FALSE
18-25,management,single,Unknown,Unknown,may,1-1K,375,3,-1,0,FALSE
18-25,management,married,tertiary,Unknown,may,1-1K,784,2,-1,0,FALSE
18-25,management,single,secondary,Unknown,may,1-1K,594,1,-1,0,FALSE
18-25,management,single,tertiary,Unknown,may,1K-5K,1270,2,-1,0,FALSE
18-25,management,single,tertiary,Unknown,may,1-1K,6,1,-1,0,FALSE
18-25,management,single,tertiary,Unknown,may,1-1K,99,4,-1,0,FALSE
18-25,management,single,secondary,Unknown,may,1-1K,85,2,-1,0,FALSE
18-25,management,married,tertiary,Unknown,may,1-1K,175,1,-1,0,FALSE
18-25,management,single,tertiary,Unknown,may,1-1K,66,2,-1,0,FALSE
18-25,management,single,tertiary,Unknown,may,1-1K,553,1,-1,0,FALSE
18-25,management,married,secondary,Unknown,may,1K-5K,2278,4,-1,0,FALSE
18-25,management,single,Unknown,Unknown,may,1-1K,17,2,-1,0,FALSE
18-25,management,single,secondary,Unknown,jun,1-1K,86,2,-1,0,FALSE
18-25,management,married,primary,Unknown,jun,1-1K,168,1,-1,0,TRUE
18-25,management,single,tertiary,Unknown,jun,1K-5K,2399,2,-1,0,FALSE
18-25,management,single,tertiary,Unknown,jun,1-1K,493,1,-1,0,FALSE
18-25,management,single,tertiary,Unknown,jun,1-1K,933,1,-1,0,FALSE
18-25,management,single,tertiary,Unknown,jun,1-1K,490,3,-1,0,FALSE
18-25,management,married,secondary,Unknown,jun,1-1K,867,10,-1,0,TRUE
18-25,management,single,secondary,Unknown,jun,1-1K,653,3,-1,0,FALSE
18-25,management,single,tertiary,Unknown,jul,1-1K,115,1,-1,0,FALSE
18-25,management,single,tertiary,cellular,jul,1K-5K,1098,1,-1,0,FALSE
18-25,management,single,secondary,cellular,jul,1K-5K,1923,1,-1,0,FALSE
18-25,management,single,Unknown,cellular,jul,1-1K,314,1,-1,0,FALSE
18-25,management,single,tertiary,Unknown,jul,1-1K,710,1,-1,0,FALSE
18-25,management,single,tertiary,cellular,jul,1-1K,10,2,-1,0,FALSE
18-25,management,single,tertiary,cellular,jul,<=0,0,1,-1,0,FALSE
18-25,management,married,tertiary,cellular,jul,1-1K,51,4,-1,0,FALSE
18-25,management,married,tertiary,cellular,jul,1-1K,3,3,-1,0,FALSE
18-25,management,married,secondary,cellular,jul,1K-5K,2228,1,-1,0,TRUE
18-25,management,married,tertiary,cellular,jul,1-1K,937,1,-1,0,FALSE
18-25,management,single,tertiary,cellular,jul,1-1K,323,1,-1,0,FALSE
18-25,management,single,tertiary,cellular,jul,1-1K,137,3,-1,0,FALSE
18-25,management,single,secondary,cellular,jul,1K-5K,1272,2,-1,0,FALSE
18-25,management,single,tertiary,telephone,jul,1-1K,155,3,-1,0,FALSE
18-25,management,married,tertiary,cellular,jul,<=0,0,31,-1,0,FALSE
18-25,management,single,tertiary,telephone,dec,1-1K,760,1,-1,0,FALSE
18-25,management,single,tertiary,cellular,feb,1K-5K,2305,1,-1,0,FALSE
18-25,management,married,tertiary,cellular,feb,1-1K,103,9,-1,0,FALSE
18-25,management,single,tertiary,cellular,feb,1K-5K,2506,1,-1,0,TRUE
18-25,management,single,tertiary,cellular,mar,1K-5K,1030,2,-1,0,TRUE
18-25,management,single,tertiary,cellular,mar,1K-5K,1506,4,-1,0,TRUE
18-25,management,married,tertiary,cellular,mar,1K-5K,4461,5,-1,0,TRUE
18-25,management,single,tertiary,cellular,mar,1K-5K,1259,1,-1,0,FALSE
18-25,management,single,tertiary,cellular,mar,1-1K,316,2,-1,0,TRUE
18-25,management,single,tertiary,cellular,mar,1K-5K,2143,2,-1,0,TRUE
18-25,management,single,tertiary,cellular,mar,1K-5K,1004,2,-1,0,FALSE
18-25,management,single,tertiary,cellular,apr,1-1K,565,1,-1,0,FALSE
18-25,management,single,tertiary,cellular,apr,1-1K,702,2,-1,0,FALSE
18-25,management,married,Unknown,cellular,apr,1-1K,448,1,-1,0,TRUE
18-25,management,single,tertiary,cellular,apr,1-1K,3,1,-1,0,TRUE
18-25,management,single,tertiary,cellular,apr,1-1K,943,1,-1,0,TRUE